"subject","instanceid","FAMILY_INCOM"
"26-1341019",1164370,"$100,000 to $149,999"
"26-1341019",1619102,"$100,000 to $149,999"
"26-1341019",1871615,"$100,000 to $149,999"
"26-1341121",2360498,"$150,000 or more"
"26-1341145",54976,"$100,000 to $149,999"
"26-1341145",1242422,"$100,000 to $149,999"
"26-1341145",1536098,"$100,000 to $149,999"
"26-1341145",1798321,"$100,000 to $149,999"
"26-1341210",1301361,"$150,000 or more"
"26-1341210",1616036,"$150,000 or more"
"26-1341374",1789994,"$30,000 to $39,999"
"26-1341374",2433188,"$30,000 to $39,999"
"26-1341570",49986,"$80,000 to $99,999"
"26-1341688",1065492,"$40,000 to $49,999"
"26-1341688",1203504,"$40,000 to $49,999"
"26-1341733",683321,"$100,000 to $149,999"
"26-1341733",2549375,"$100,000 to $149,999"
"26-1342006",1018005,"$150,000 or more"
"26-1342066",880981,"$150, 000 to $199, 999"
"26-1342066",2248066,"$150, 000 to $199, 999"
"26-1342081",422980,"$100,000 to $149,999"
"26-1342103",275447,"$100,000 to $149,999"
"26-1342103",2642946,"$100,000 to $149,999"
"26-1342234",10141,"$150, 000 to $199, 999"
"26-1342234",659113,"$150, 000 to $199, 999"
"26-1342234",2409499,"$150, 000 to $199, 999"
"26-1342411",1011189,"$150,000 or more"
"26-1342439",134123,"$150, 000 to $199, 999"
"26-1342439",454921,"$150, 000 to $199, 999"
"26-1342439",488271,"$150, 000 to $199, 999"
"26-1342556",449216,"$100,000 to $149,999"
"26-1342556",1454894,"$100,000 to $149,999"
"26-1342556",2295099,"$100,000 to $149,999"
"26-1342570",187467,"$200, 000 to $299, 999"
"26-1342570",1443745,"$200, 000 to $299, 999"
"26-1342570",1732146,"$200, 000 to $299, 999"
"26-1342582",157071,"$80,000 to $99,999"
"26-1342778",193007,"$150, 000 to $199, 999"
"26-1342778",946765,"$150, 000 to $199, 999"
"26-1343087",203475,"$150, 000 to $199, 999"
"26-1343087",1204860,"$150, 000 to $199, 999"
"26-1343087",2502883,"$150, 000 to $199, 999"
"26-1343120",750587,"$300, 000 to $499, 999"
"26-1343120",827098,"$300, 000 to $499, 999"
"26-1343120",1538547,"$300, 000 to $499, 999"
"26-1343252",510545,"$300, 000 to $499, 999"
"26-1343354",1660987,"$100,000 to $149,999"
"26-1343370",2557753,"$100,000 to $149,999"
"26-1343374",935938,"$80,000 to $99,999"
"26-1343374",2457553,"$80,000 to $99,999"
"26-1343375",503192,"$150,000 or more"
"26-1343375",595734,"$150,000 or more"
"26-1343375",1145992,"$150,000 or more"
"26-1343445",600001,"$60,000 to $79,999"
"26-1343445",1904567,"$60,000 to $79,999"
"26-1343445",2398929,"$60,000 to $79,999"
"26-1343492",89983,"$100,000 to $149,999"
"26-1343492",251792,"$100,000 to $149,999"
"26-1343492",733243,"$100,000 to $149,999"
"26-1343553",732960,"$80,000 to $99,999"
"26-1343553",1349818,"$80,000 to $99,999"
"26-1343674",185642,"$100,000 to $149,999"
"26-1343782",120669,"$40,000 to $49,999"
"26-1343782",1040820,"$40,000 to $49,999"
"26-1343782",1855974,"$40,000 to $49,999"
"26-1343812",1044082,"$150, 000 to $199, 999"
"26-1343934",893634,"$100,000 to $149,999"
"26-1343941",180594,"$100,000 to $149,999"
"26-1343941",281652,"$100,000 to $149,999"
"26-1343941",698428,"$100,000 to $149,999"
"26-1343941",1336082,"$100,000 to $149,999"
"26-1343941",1994824,"$100,000 to $149,999"
"26-1343941",2398871,"$100,000 to $149,999"
"26-1344014",981690,"$150, 000 to $199, 999"
"26-1344014",2540870,"$150, 000 to $199, 999"
"26-1344023",696033,"$80,000 to $99,999"
"26-1344023",1379676,"$80,000 to $99,999"
"26-1344023",1610675,"$80,000 to $99,999"
"26-1344023",1804390,"$80,000 to $99,999"
"26-1344023",2202789,"$80,000 to $99,999"
"26-1344023",2481049,"$80,000 to $99,999"
"26-1344064",724566,"$100,000 to $149,999"
"26-1344107",13478,"$100,000 to $149,999"
