"subject","CHILDCARE_ARRANGEMENT","homebased_daycare_yn","licensed_provider_yn"
"26-3818177","Care by a relative","No","Yes"
"26-3506757","Daycare (centre-based or home-based)","No","No"
"26-1869061","Care in someone’s home by a non-relative","Yes","Yes"
"26-1389168","Care by a relative","Yes","Yes"
"26-1404210","Care in child’s home by a non-relative","No","No"
"26-1375494","Daycare (centre-based or home-based)","Yes","Yes"
"26-2533387","Care by a relative","No","No"
"26-3465062","Care by a relative","No","Yes"
"26-3823875","Care in someone’s home by a non-relative","Yes","No"
"26-1407226","Care in child’s home by a non-relative","No","No"
"26-1351252","Daycare (centre-based or home-based)","No","No"
"26-2516302","Care by a relative","Yes","Yes"
"26-3469901","Care in someone’s home by a non-relative","No","No"
"26-1368188","Care by a relative","No","Yes"
"26-1374561","Care by a relative","No","Yes"
"26-1385776","Care in someone’s home by a non-relative","Yes","No"
"26-2515879","Care by a relative","No","No"
"26-2988920","Daycare (centre-based or home-based)","Yes","Yes"
"26-2494454","Care in someone’s home by a non-relative","Yes","Yes"
"26-3507894","Care by a relative","Yes","Yes"
"26-1866187","Daycare (centre-based or home-based)","No","No"
"26-1382260","Care in child’s home by a non-relative","No","No"
"26-3816492","Care in someone’s home by a non-relative","Yes","No"
"26-3507650","Care by a relative","Yes","Yes"
"26-2491999","Daycare (centre-based or home-based)","Yes","Yes"
"26-2518275","Daycare (centre-based or home-based)","No","Yes"
"26-1867774","Care in someone’s home by a non-relative","Yes","No"
"26-1356403","Care by a relative","Yes","No"
"26-3467314","Care by a relative","Yes","No"
"26-1368590","Care by a relative","Yes","No"
"26-1348931","Care in someone’s home by a non-relative","No","Yes"
"26-2539871","Care by a relative","Yes","No"
"26-2492814","Daycare (centre-based or home-based)","Yes","Yes"
"26-3467979","Daycare (centre-based or home-based)","No","Yes"
"26-1393964","Daycare (centre-based or home-based)","Yes","Yes"
"26-2989118","Care in child’s home by a non-relative","No","No"
"26-3502058","Care in someone’s home by a non-relative","No","No"
"26-3819796","Care by a relative","No","Yes"
"26-2523396","Care in child’s home by a non-relative","No","No"
"26-1352117","Care by a relative","Yes","No"
"26-2491650","Care by a relative","Yes","No"
"26-3818792","Care in child’s home by a non-relative","No","Yes"
"26-1402569","Care by a relative","No","Yes"
"26-3467251","Care in someone’s home by a non-relative","Yes","No"
"26-1378223","Care by a relative","No","No"
"26-1346657","Care in someone’s home by a non-relative","Yes","No"
"26-3811314","Care in child’s home by a non-relative","Yes","Yes"
"26-1374796","Daycare (centre-based or home-based)","No","No"
"26-1346481","Care in child’s home by a non-relative","No","No"
"26-1402216","Care by a relative","No","No"
"26-2535726","Daycare (centre-based or home-based)","Yes","Yes"
"26-2527189","Care in someone’s home by a non-relative","No","No"
"26-2535236","Care in child’s home by a non-relative","No","Yes"
"26-2536391","Care by a relative","No","Yes"
"26-1862713","Daycare (centre-based or home-based)","No","No"
"26-3467322","Daycare (centre-based or home-based)","No","No"
"26-3825603","Care by a relative","Yes","Yes"
"26-2517714","Care in child’s home by a non-relative","No","Yes"
"26-3822218","Care by a relative","Yes","Yes"
"26-1349360","Daycare (centre-based or home-based)","No","No"
"26-2981605","Care in someone’s home by a non-relative","No","No"
"26-2988096","Care in someone’s home by a non-relative","Yes","Yes"
"26-1343370","Care by a relative","Yes","No"
"26-3817584","Care in child’s home by a non-relative","No","No"
"26-1386595","Care in child’s home by a non-relative","Yes","Yes"
"26-1385229","Care in child’s home by a non-relative","No","No"
"26-1363610","Care in someone’s home by a non-relative","Yes","No"
"26-3462498","Daycare (centre-based or home-based)","Yes","Yes"
"26-1373315","Care by a relative","Yes","Yes"
"26-1364483","Care by a relative","No","Yes"
"26-1355458","Care in someone’s home by a non-relative","No","Yes"
"26-2511867","Care by a relative","Yes","No"
"26-2496187","Care in child’s home by a non-relative","No","Yes"
"26-2535729","Care in someone’s home by a non-relative","Yes","No"
"26-3822755","Care in someone’s home by a non-relative","Yes","No"
"26-1408829","Care in child’s home by a non-relative","No","No"
"26-3811412","Care in child’s home by a non-relative","No","Yes"
"26-1382974","Care by a relative","Yes","No"
